Date,Open,High,Low,Close,Adj Close,Volume
2002-04-01,45.900002,46.200001,42.849998,43.619999,20.306013,30646923
2002-05-01,43.619999,48.160000,43.619999,45.869999,21.353436,40330749
2002-06-01,45.320000,45.500000,37.150002,41.020000,19.308149,61610262
2002-07-01,41.400002,43.580002,33.349998,38.500000,18.121988,59850579
2002-08-01,38.459999,40.830002,36.000000,38.410000,18.079624,43905225
2002-09-01,38.250000,38.250000,30.850000,31.500000,14.827079,51830954
2002-10-01,32.549999,38.200001,28.400000,36.200001,17.039371,62492247
2002-11-01,36.000000,37.330002,31.580000,34.000000,16.003830,57293040
2002-12-01,34.450001,35.130001,26.900000,28.920000,13.612672,37404218
2003-01-01,28.920000,30.809999,25.340000,26.870001,12.647733,57822587
2003-02-01,27.549999,28.200001,23.700001,25.900000,12.191151,47660847
2003-03-01,26.299999,28.299999,20.760000,25.440001,12.514996,73592204
2003-04-01,25.600000,31.200001,25.309999,29.870001,14.694297,49205176
2003-05-01,29.750000,30.080000,25.910000,29.370001,14.448325,58016419
2003-06-01,29.799999,34.639999,28.540001,33.400002,16.727726,54918448
2003-07-01,33.639999,35.650002,32.150002,34.500000,17.278633,42826419
2003-08-01,34.250000,37.900002,32.950001,35.700001,17.879631,39952146
2003-09-01,36.330002,38.689999,31.260000,32.450001,16.251938,60682613
2003-10-01,32.419998,35.959999,32.160000,34.009998,17.033232,55788064
2003-11-01,34.389999,38.209999,34.380001,36.730000,18.395485,50378844
2003-12-01,37.099998,37.900002,35.540001,36.750000,18.405502,41066869
2004-01-01,36.750000,37.660000,34.150002,35.189999,17.624207,60781135
2004-02-01,35.270000,35.599998,32.730000,34.380001,17.218540,52420095
2004-03-01,34.660000,36.130001,32.250000,33.090000,17.112320,70451560
2004-04-01,33.349998,37.590000,33.119999,35.970001,18.601694,53952865
2004-05-01,36.000000,36.869999,33.419998,34.900002,18.048353,44449505
2004-06-01,34.860001,36.599998,34.009998,36.369999,19.127155,43757302
2004-07-01,36.630001,37.380001,35.020000,36.919998,19.416403,44351278
2004-08-01,36.900002,37.230000,32.849998,33.889999,17.822912,47434900
2004-09-01,34.220001,35.459999,33.020000,33.099998,17.407448,42061292
2004-10-01,33.259998,35.200001,32.049999,33.150002,17.433746,51770869
2004-11-01,33.139999,34.000000,31.520000,31.780001,16.713253,69036675
2004-12-01,31.620001,33.540001,31.620001,33.200001,17.460039,48610136
2005-01-01,33.410000,34.910000,31.719999,32.169998,16.918356,61079776
2005-02-01,32.200001,33.570000,31.910000,32.349998,17.013018,48902143
2005-03-01,32.439999,35.570000,32.160000,35.049999,19.153414,76092135
2005-04-01,35.000000,35.450001,32.110001,32.700001,17.869230,51527659
2005-05-01,32.980000,35.450001,32.830002,35.200001,19.235380,47335291
2005-06-01,35.209999,38.029999,35.169998,37.730000,20.999508,50278486
