year;brand;satisfactionScore
2003;Ford;80
2004;Ford;76
2005;Ford;75
2006;Ford;77
2007;Ford;80
2008;Ford;80
2009;Ford;83
2010;Ford;82
2011;Ford;84
2012;Ford;83
2013;Ford;83
2014;Ford;81
2015;Ford;79
2016;Ford;81
2017;Ford;79
2018;Ford;77
2019;Ford;77
2020;Ford;76
1995;Volkswagen;76
1996;Volkswagen;76
1997;Volkswagen;79
1998;Volkswagen;78
1999;Volkswagen;82
2000;Volkswagen;83
2001;Volkswagen;81
2002;Volkswagen;82
2003;Volkswagen;76
2004;Volkswagen;80
2005;Volkswagen;78
2006;Volkswagen;78
2007;Volkswagen;80
2008;Volkswagen;81
2009;Volkswagen;86
2010;Volkswagen;81
2011;Volkswagen;84
2012;Volkswagen;85
2013;Volkswagen;84
2014;Volkswagen;84
2015;Volkswagen;80
2016;Volkswagen;78
2017;Volkswagen;79
2018;Volkswagen;82
2019;Volkswagen;77
2020;Volkswagen;78
1995;Hyundai;68
1996;Hyundai;69
1997;Hyundai;68
1998;Hyundai;72
1999;Hyundai;68
2000;Hyundai;76
2001;Hyundai;81
2002;Hyundai;78
2003;Hyundai;81
2004;Hyundai;81
2005;Hyundai;84
2006;Hyundai;84
2007;Hyundai;83
2008;Hyundai;83
2009;Hyundai;85
2010;Hyundai;82
2011;Hyundai;83
2012;Hyundai;85
2013;Hyundai;82
2014;Hyundai;81
2015;Hyundai;81
2016;Hyundai;81
2017;Hyundai;83
2018;Hyundai;80
2019;Hyundai;79
2020;Hyundai;76
1995;Infiniti;NA
1996;Infiniti;NA
1997;Infiniti;NA
1998;Infiniti;NA
1999;Infiniti;NA
2000;Infiniti;NA
2001;Infiniti;NA
2002;Infiniti;NA
2003;Infiniti;NA
2004;Infiniti;NA
2005;Infiniti;NA
2006;Infiniti;NA
2007;Infiniti;NA
2008;Infiniti;NA
2009;Infiniti;NA
2010;Infiniti;NA
2011;Infiniti;NA
2012;Infiniti;NA
2013;Infiniti;NA
2014;Infiniti;NA
2015;Infiniti;77
2016;Infiniti;84
2017;Infiniti;NA
2018;Infiniti;78
2019;Infiniti;82
2020;Infiniti;79
1995;Fiat;NA
1996;Fiat;NA
1997;Fiat;NA
1998;Fiat;NA
1999;Fiat;NA
2000;Fiat;NA
2001;Fiat;NA
2002;Fiat;NA
2003;Fiat;NA
2004;Fiat;NA
2005;Fiat;NA
2006;Fiat;NA
2007;Fiat;NA
2008;Fiat;NA
2009;Fiat;NA
2010;Fiat;NA
2011;Fiat;NA
2012;Fiat;NA
2013;Fiat;NA
2014;Fiat;NA
2015;Fiat;73
2016;Fiat;NA
2017;Fiat;75
2018;Fiat;78
2019;Fiat;77
2020;Fiat;76
1995;MINI;NA
1996;MINI;NA
1997;MINI;NA
1998;MINI;NA
1999;MINI;NA
2000;MINI;NA
2001;MINI;NA
2002;MINI;NA
2003;MINI;NA
2004;MINI;NA
2005;MINI;NA
2006;MINI;NA
2007;MINI;NA
2008;MINI;NA
2009;MINI;NA
2010;MINI;NA
2011;MINI;NA
2012;MINI;NA
2013;MINI;NA
2014;MINI;NA
2015;MINI;76
2016;MINI;NA
2017;MINI;NA
2018;MINI;80
2019;MINI;NA
2020;MINI;NA
1995;Audi;NA
1996;Audi;NA
1997;Audi;NA
1998;Audi;NA
1999;Audi;NA
2000;Audi;NA
2001;Audi;NA
2002;Audi;NA
2003;Audi;NA
2004;Audi;NA
