"Date","Open","High","Low","Close","Adj.Close","Volume"
2001-10-01,28.14,35.5,26.76,33,14.63,40784619
2001-11-01,33.55,39.94,32.2,35.49,15.73,45261005
2001-12-01,37,39.85,36.3,39.15,17.35,28164151
2002-01-01,39.15,42.94,36.77,42.85,18.99,46995576
2002-02-01,42.65,43.29,39.5,42.85,18.99,35356309
2002-03-01,42.4,47.87,42.21,45.9,21.37,45346384
2002-04-01,45.9,46.2,42.85,43.62,20.31,30646923
2002-05-01,43.62,48.16,43.62,45.87,21.35,40330749
2002-06-01,45.32,45.5,37.15,41.02,19.31,61610262
2002-07-01,41.4,43.58,33.35,38.5,18.12,59850579
2002-08-01,38.46,40.83,36,38.41,18.08,43905225
2002-09-01,38.25,38.25,30.85,31.5,14.83,51830954
2002-10-01,32.55,38.2,28.4,36.2,17.04,62492247
2002-11-01,36,37.33,31.58,34,16,57293040
2002-12-01,34.45,35.13,26.9,28.92,13.61,37404218
2003-01-01,28.92,30.81,25.34,26.87,12.65,57822587
2003-02-01,27.55,28.2,23.7,25.9,12.19,47660847
2003-03-01,26.3,28.3,20.76,25.44,12.51,73592204
2003-04-01,25.6,31.2,25.31,29.87,14.69,49205176
2003-05-01,29.75,30.08,25.91,29.37,14.45,58016419
2003-06-01,29.8,34.64,28.54,33.4,16.73,54918448
2003-07-01,33.64,35.65,32.15,34.5,17.28,42826419
2003-08-01,34.25,37.9,32.95,35.7,17.88,39952146
2003-09-01,36.33,38.69,31.26,32.45,16.25,60682613
2003-10-01,32.42,35.96,32.16,34.01,17.03,55788064
2003-11-01,34.39,38.21,34.38,36.73,18.4,50378844
2003-12-01,37.1,37.9,35.54,36.75,18.41,41066869
2004-01-01,36.75,37.66,34.15,35.19,17.62,60781135
2004-02-01,35.27,35.6,32.73,34.38,17.22,52420095
2004-03-01,34.66,36.13,32.25,33.09,17.11,70451560
2004-04-01,33.35,37.59,33.12,35.97,18.6,53952865
2004-05-01,36,36.87,33.42,34.9,18.05,44449505
2004-06-01,34.86,36.6,34.01,36.37,19.13,43757302
2004-07-01,36.63,37.38,35.02,36.92,19.42,44351278
2004-08-01,36.9,37.23,32.85,33.89,17.82,47434900
2004-09-01,34.22,35.46,33.02,33.1,17.41,42061292
2004-10-01,33.26,35.2,32.05,33.15,17.43,51770869
2004-11-01,33.14,34,31.52,31.78,16.71,69036675
2004-12-01,31.62,33.54,31.62,33.2,17.46,48610136
2005-01-01,33.41,34.91,31.72,32.17,16.92,61079776
2005-02-01,32.2,33.57,31.91,32.35,17.01,48902143
2005-03-01,32.44,35.57,32.16,35.05,19.15,76092135
2005-04-01,35,35.45,32.11,32.7,17.87,51527659
2005-05-01,32.98,35.45,32.83,35.2,19.24,47335291
2005-06-01,35.21,38.03,35.17,37.73,21,50278486
2005-07-01,37.83,39.97,37.02,38.76,21.57,48266556
2005-08-01,38.66,39.92,35.6,36.42,20.27,72957746
2005-09-01,36.6,39.71,35.97,39.06,21.74,70861169
2005-10-01,39.37,40.09,35.95,36.2,20.15,55285756
2005-11-01,36.25,38.07,34.97,37.32,20.77,61613337
2005-12-01,37.32,38.44,36.61,37.05,20.62,37599408
2006-01-01,37.19,37.94,35.52,37.23,20.72,57269088
2006-02-01,37.05,41.12,37,40.34,22.45,61079642
2006-03-01,40.45,46.47,38.62,45.45,26.18,86398734
2006-04-01,45.52,46.47,43.07,43.11,24.83,39749317
2006-05-01,43.11,44.18,38.5,40.14,23.12,65517580
2006-06-01,39.97,40.28,36.31,39.06,22.86,48107450
2006-07-01,39,40.56,37.38,40.41,23.65,46546314
2006-08-01,40.45,41.29,38.38,40.44,23.66,52012782
2006-09-01,40.54,42.5,38.56,42.24,24.72,50350985
2006-10-01,42.12,45.89,41.36,45,26.33,63601914
2006-11-01,45.21,46.08,41.24,41.66,24.38,62347262
2006-12-01,41.85,43.85,40.81,43.51,25.46,44895936
2007-01-01,43.51,47.71,42.41,46.8,27.38,66984404
2007-02-01,47.1,47.48,43.04,43.91,26.52,74900047
2007-03-01,43.75,44.42,40.4,44.17,26.68,99432787
2007-04-01,44.25,46.08,42.6,45.32,27.37,67179810
2007-05-01,45.32,51.49,44.52,49.77,30.06,92911092
2007-06-01,49.77,50.99,46.36,48.01,29.4,73770780
2007-07-01,47.67,50.1,44.21,45.83,28.07,75555935
2007-08-01,43.4,44.79,42.43,44.63,27.33,88373388
2007-09-01,44.89,48.92,41.94,45.23,27.7,98232483
2007-10-01,45.4,48.19,44.78,46.23,28.31,69221266
2007-11-01,46.1,46.66,39.42,41.7,25.54,96824552
2007-12-01,41.97,43.2,40.1,42.35,25.94,59559042
2008-01-01,42.35,43.62,33.77,36.8,22.54,128203710
2008-02-01,37.16,38.88,33.83,36.18,22.16,97295387
2008-03-01,35.76,36.7,30.93,34.99,21.43,96326162
2008-04-01,34.82,36.8,33.09,35.25,21.59,80811786
2008-05-01,35.86,38.07,34.51,38.07,24.78,80567151
2008-06-01,38.04,38.05,29.26,30.55,20.46,88293980
2008-07-01,30.55,32.46,26.64,28.91,19.36,103400019
2008-08-01,26.1,32.17,25.8,28,18.75,137567102
2008-09-01,27.74,30.92,26.58,27.29,18.27,116791805
2008-10-01,27.68,27.83,16,20.11,13.47,162282146
2008-11-01,20.72,23.54,17.54,19.67,13.17,102829181
2008-12-01,19.85,23.09,18.51,21.61,14.47,63312746
2009-01-01,21.61,23.11,17.21,18.61,12.46,69969980
2009-02-01,18.31,24.5,17.34,19.75,13.23,82687096
2009-03-01,19.3,24.15,18.67,21.79,14.59,91110358
2009-04-01,21.76,28.1,21.64,26.25,17.58,78777113
2009-05-01,26.25,29.59,23.57,25.39,17.01,55628830
2009-06-01,25.95,29.6,25.48,26.84,18.19,54892903
2009-07-01,26.9,32.68,24.96,32.43,21.98,49329263
2009-08-01,32.02,33.11,30.46,31.77,21.54,37676433
2009-09-01,31.92,35.66,29.91,32.95,22.33,58179815
2009-10-01,33.08,36.47,31.2,33.29,22.57,58453684
2009-11-01,33.13,34.82,30.49,31.42,21.3,55960696
2009-12-01,31.7,33.1,31.25,31.8,21.56,36991229
2010-01-01,31.82,33.43,29.38,30.96,20.99,53491398
2010-02-01,30.69,31.77,28.28,29.79,20.19,52999091
2010-03-01,30.2,34.73,29.95,34.18,23.17,58196067
2010-04-01,35.11,37.96,34.44,37.13,25.17,53812591
2010-05-01,37.08,40.06,34.64,37.97,25.73,78728659
2010-06-01,37.96,42.33,36.98,40.06,27.36,59944234
2010-07-01,39.56,43.29,37.79,41.31,28.21,63321775
2010-08-01,41.46,45.38,40.15,41.67,28.46,52217541
2010-09-01,42,52.15,41.38,51.44,35.13,76279661
2010-10-01,51.44,51.65,47.82,51.51,35.18,57376076
2010-11-01,51.77,60,50.65,57.93,39.57,59271952
2010-12-01,58.35,65.49,57.66,58.85,40.19,52372698
2011-01-01,59.26,61.74,54.17,56.08,38.3,63830877
2011-02-01,57.03,63.68,55.23,58.78,40.15,55638113
2011-03-01,59.32,61.1,52.01,58.75,40.13,72368496
2011-04-01,59.2,63.67,56.22,63.67,43.49,47870001
2011-05-01,64,65.3,58.83,61.48,41.99,77521533
2011-06-01,61.28,70.02,59.26,68.81,47.98,59969044
2011-07-01,68.7,73.85,64.19,69.82,48.69,56223610
2011-08-01,71.6,71.76,49.83,56.35,39.3,112679156
2011-09-01,56.5,57.97,48.65,49.97,34.84,93569892
2011-10-01,47.26,62.47,43.49,59.06,41.19,77958653
2011-11-01,57.25,61.16,48.52,55.98,39.04,69641049
2011-12-01,55.63,57.41,49.42,51.76,36.09,48918819
2012-01-01,51.84,66.5,51.45,65.39,45.6,55051313
2012-02-01,65.13,72.66,65.13,69.43,48.42,53873894
2012-03-01,69.36,73.95,65.67,67.43,47.02,69301344
2012-04-01,68.38,72.67,65.08,71.81,50.08,51235333
2012-05-01,71.81,73.95,60.6,61.1,42.61,63597755
2012-06-01,61.07,61.1,53.16,56.93,41.12,60844723
2012-07-01,56.9,61.43,54.76,60.77,43.9,55794638
2012-08-01,59.3,62.04,56.21,57.66,41.65,53794428
2012-09-01,57.23,62.49,54.35,56.91,41.11,55997711
2012-10-01,56.85,63.68,56.51,61.45,44.39,51327631
2012-11-01,61.75,68.59,61.57,68.19,49.25,50767112
2012-12-01,68.46,74,67.51,72.93,52.68,27669167
2013-01-01,72.93,76.16,71.6,74.15,53.56,33339043
2013-02-01,74.24,75.37,68.07,70.7,51.07,34959363
2013-03-01,70.7,73.1,66.88,67.31,48.62,39505871
2013-04-01,67.31,70.79,63.27,70.05,50.6,40685286
2013-05-01,70.05,74.28,69.87,73.69,53.23,40701580
2013-06-01,73.25,74.48,63.82,67.18,50.24,43055778
2013-07-01,67.54,74.96,64.44,73.59,55.03,32954760
2013-08-01,73.46,75.75,70.08,71.29,53.31,28280034
2013-09-01,72.33,82.44,70.89,79.47,59.43,32344101
2013-10-01,79.97,84.05,78.23,83.54,62.47,31290942
2013-11-01,83.36,85.02,79.56,84.57,63.24,28568159
2013-12-01,84.72,85.73,79.33,85.22,63.73,24304185
2014-01-01,85.22,86.88,78.67,80.82,60.44,34944202
2014-02-01,81.07,86.36,79.04,84.2,62.97,33561010
2014-03-01,82.22,92.91,77.58,91.62,68.52,46536865
2014-04-01,92.45,94.39,88.01,90.18,67.44,27442490
2014-05-01,90.18,92.27,85.55,92.09,68.87,29760028
2014-06-01,91.75,94.21,90.02,92.62,71.37,25902296
2014-07-01,92.86,96.1,89.02,89.34,68.84,29605167
2014-08-01,89.36,91.74,83.75,88.6,68.27,31202763
2014-09-01,88.75,92.75,83.94,85.02,65.51,32415517
2014-10-01,86,86.56,74.74,85.32,65.74,50282668
2014-11-01,85.4,91.95,81.73,91.95,70.85,31883418
2014-12-01,91.1,92.99,83.26,89.77,69.17,28979468
2015-01-01,89.77,105.55,84.55,103.4,79.68,43368451
2015-02-01,103.65,113,101.45,113,87.07,26613484
2015-03-01,113.5,123.75,110.55,116.45,89.73,42845360
2015-04-01,115.5,117.9,104.7,106.1,81.76,35496646
2015-05-01,106.1,110,100.05,100.7,77.6,40275461
2015-06-01,101,105.45,95.17,98.18,77.8,51299868
2015-07-01,99.53,102.4,88.53,91.3,72.35,57228092
2015-08-01,91.25,93.98,74.59,82.22,65.16,55919431
2015-09-01,80.87,88.88,72.05,79.22,62.78,65207412
2015-10-01,80.62,94.46,76.12,93.36,73.98,37270519
2015-11-01,92.73,104.1,89.74,103.3,81.86,32013321
2015-12-01,103.6,104.85,91.57,97.63,77.37,28595589
2016-01-01,97.63,97.63,75.46,76.66,60.75,41690435
2016-02-01,76.89,77,66,75.15,59.55,41656370
2016-03-01,75.27,83.51,75,80.7,63.95,43112303
2016-04-01,79.6,85.07,73.3,80.5,63.79,37428978
2016-05-01,81.32,82.73,69.94,75.89,60.14,42008465
2016-06-01,75.92,75.96,64.98,65.79,54.44,50548587
2016-07-01,66.27,78.8,63.38,77.05,63.75,40571034
2016-08-01,78.44,81.2,73.73,78.01,64.55,31282500
2016-09-01,78.27,79.8,72.02,74.81,61.9,33538416
2016-10-01,74.81,80.54,74.81,79.37,65.67,29978428
2016-11-01,79.8,83.49,73.4,80.41,66.53,39492423
2016-12-01,80.16,90.85,78.56,88.75,73.43,32245902
2017-01-01,88.34,91.76,84.17,84.17,69.64,30879583
2017-02-01,84.83,87.59,82.47,84.37,69.81,26245610
2017-03-01,85,87.67,81.1,85.51,70.75,41949011
2017-04-01,85.98,88.97,81.76,87.65,72.52,32944951
2017-05-01,87.65,91.06,83.17,83.29,68.92,41260108
2017-06-01,83.51,87,81.2,81.28,69.97,35052511
2017-07-01,80.51,84.88,77.07,77.71,66.9,38985596
2017-08-01,78.01,82.43,77.4,78,67.15,31968074
2017-09-01,78.2,85.83,77.89,85.83,73.89,32221221
2017-10-01,86,89.35,84.92,87.5,75.33,28382567
2017-11-01,88.12,90.68,84.4,84.68,72.9,34046760
2017-12-01,84.66,88.22,82.87,86.83,74.75,26556616
2018-01-01,86.83,97.5,83.88,91.97,79.17,43754352
2018-02-01,92.14,93.45,85.08,86.82,74.74,40367887
2018-03-01,86.4,88.92,81.82,88.15,75.88,47063503
2018-04-01,88.15,92.47,86.62,92.47,79.6,35305716
2018-05-01,92.47,93.87,84.9,85.38,73.5,40254079
2018-06-01,85.81,87.92,77.03,77.63,69.82,41652821
2018-07-01,77.1,84.48,76.5,82.69,74.37,40077857
2018-08-01,83.74,85.75,79.22,83.41,75.02,38656606
2018-09-01,82.95,86.74,76.67,77.71,69.89,42949402
2018-10-01,77.94,79.44,71.79,76.23,68.56,46004866
2018-11-01,76.52,79.12,71.36,72.21,64.95,42682352
2018-12-01,76.7,77.56,69.12,70.7,63.59,40525556
2019-01-01,70.7,74.75,68.79,73.46,66.07,33401132
2019-02-01,73.75,74.47,68.11,74.31,66.84,33892957
2019-03-01,74.9,76.5,67.73,68.75,61.84,38722418
2019-04-01,69.64,78.3,69.59,75.9,68.27,34322068
2019-05-01,75.9,76.78,61.41,62.02,55.78,50117453
2019-06-01,61.7,65.62,61.14,65.09,61.63,35117484
2019-07-01,66.52,70.56,64.24,66.83,63.28,37307096
2019-08-01,67,67.97,58.04,60.81,57.58,37815948
2019-09-01,60.5,65.62,60.01,64.59,61.16,30501646
2019-10-01,64.9,70.54,61.37,68.71,65.06,34337488
2019-11-01,68.89,75.88,68.69,73.3,69.41,31682508
2019-12-01,73.39,77.06,71.31,73.14,69.26,25834917
2020-01-01,73.14,75.35,64.21,64.34,60.92,31174525
2020-02-01,64.34,67.28,57.16,58.93,55.8,45872074
2020-03-01,59.4,59.6,36.6,47.12,44.61,90429865
2020-04-01,45.51,57.26,43.61,54.05,51.18,48537831
2020-05-01,52.3,55.81,45.3,52.6,49.81,50735860
2020-06-01,54.61,61.82,53.85,56.82,56.82,51442707
2020-07-01,56.01,62.4,54.68,54.7,54.7,33554631
2020-08-01,54.7,61.77,54.23,60.15,60.15,34525699
2020-09-01,61.26,65,58.78,61.99,61.99,30330198
2020-10-01,63.11,66.41,57.25,58.68,58.68,32090045
2020-11-01,59,77.31,58.13,73.04,73.04,39964286
2020-12-01,73.74,75,73.29,74.95,74.95,4721553
