"","Date","Model","Sales"
"150","6 2018","BMW 2-series Coupe  Convertible",3529
"151","7 2018","BMW 2-series Coupe  Convertible",1670
"152","8 2018","BMW 2-series Coupe  Convertible",1496
"153","9 2018","BMW 2-series Coupe  Convertible",3317
"154","10 2018","BMW 2-series Coupe  Convertible",2117
"155","11 2018","BMW 2-series Coupe  Convertible",3896
"156","12 2018","BMW 2-series Coupe  Convertible",3870
"157","1 2019","BMW 2-series Coupe  Convertible",1412
"158","2 2019","BMW 2-series Coupe  Convertible",1437
"159","3 2019","BMW 2-series Coupe  Convertible",3304
"160","4 2019","BMW 2-series Coupe  Convertible",2368
"161","5 2019","BMW 2-series Coupe  Convertible",1864
"162","6 2019","BMW 2-series Coupe  Convertible",1958
"163","7 2019","BMW 2-series Coupe  Convertible",2238
"164","8 2019","BMW 2-series Coupe  Convertible",1098
"165","9 2019","BMW 2-series Coupe  Convertible",3237
"166","10 2019","BMW 2-series Coupe  Convertible",1658
"167","11 2019","BMW 2-series Coupe  Convertible",3155
"168","12 2019","BMW 2-series Coupe  Convertible",3138
"169","1 2020","BMW 2-series Coupe  Convertible",1175
"170","2 2020","BMW 2-series Coupe  Convertible",1391
"171","3 2020","BMW 2-series Coupe  Convertible",2707
"172","4 2020","BMW 2-series Coupe  Convertible",879
"173","5 2020","BMW 2-series Coupe  Convertible",1013
"174","6 2020","BMW 2-series Coupe  Convertible",2580
"175","7 2020","BMW 2-series Coupe  Convertible",4064
"176","8 2020","BMW 2-series Coupe  Convertible",3004
"177","9 2020","BMW 2-series Coupe  Convertible",5613
"178","10 2020","BMW 2-series Coupe  Convertible",NA
"179","11 2020","BMW 2-series Coupe  Convertible",NA
"180","12 2020","BMW 2-series Coupe  Convertible",NA
"181","1 2016","BMW 3-series",9092
"182","2 2016","BMW 3-series",11424
"183","3 2016","BMW 3-series",17785
"184","4 2016","BMW 3-series",11507
"185","5 2016","BMW 3-series",12693
"186","6 2016","BMW 3-series",13703
"187","7 2016","BMW 3-series",10946
"188","8 2016","BMW 3-series",6843
"189","9 2016","BMW 3-series",15816
"190","10 2016","BMW 3-series",11202
"191","11 2016","BMW 3-series",12423
