"","Date","Model","Sales"
"690","6 2018","BMW X5",4862
"691","7 2018","BMW X5",1926
"692","8 2018","BMW X5",1789
"693","9 2018","BMW X5",2401
"694","10 2018","BMW X5",1292
"695","11 2018","BMW X5",2249
"696","12 2018","BMW X5",2292
"697","1 2019","BMW X5",2751
"698","2 2019","BMW X5",2347
"699","3 2019","BMW X5",4181
"700","4 2019","BMW X5",3241
"701","5 2019","BMW X5",3673
"702","6 2019","BMW X5",4364
"703","7 2019","BMW X5",3678
"704","8 2019","BMW X5",2207
"705","9 2019","BMW X5",5085
"706","10 2019","BMW X5",4222
"707","11 2019","BMW X5",4119
"708","12 2019","BMW X5",4897
"709","1 2020","BMW X5",4425
"710","2 2020","BMW X5",2840
"711","3 2020","BMW X5",2545
"712","4 2020","BMW X5",1926
"713","5 2020","BMW X5",2750
"714","6 2020","BMW X5",2738
"715","7 2020","BMW X5",2990
"716","8 2020","BMW X5",3467
"717","9 2020","BMW X5",4807
"718","10 2020","BMW X5",NA
"719","11 2020","BMW X5",NA
"720","12 2020","BMW X5",NA
"721","1 2016","BMW X6",1039
"722","2 2016","BMW X6",771
"723","3 2016","BMW X6",1516
"724","4 2016","BMW X6",1031
"725","5 2016","BMW X6",1074
"726","6 2016","BMW X6",1286
"727","7 2016","BMW X6",1020
"728","8 2016","BMW X6",580
"729","9 2016","BMW X6",1176
"730","10 2016","BMW X6",959
"731","11 2016","BMW X6",996
"732","12 2016","BMW X6",1148
"733","1 2017","BMW X6",972
"734","2 2017","BMW X6",776
"735","3 2017","BMW X6",1362
"736","4 2017","BMW X6",866
"737","5 2017","BMW X6",913
"738","6 2017","BMW X6",1061
"739","7 2017","BMW X6",803
"740","8 2017","BMW X6",483
"741","9 2017","BMW X6",854
"742","10 2017","BMW X6",731
"743","11 2017","BMW X6",829
"744","12 2017","BMW X6",842
"745","1 2018","BMW X6",944
"746","2 2018","BMW X6",542
"747","3 2018","BMW X6",1187
"748","4 2018","BMW X6",808
"749","5 2018","BMW X6",749
"750","6 2018","BMW X6",1190
"751","7 2018","BMW X6",622
"752","8 2018","BMW X6",554
"753","9 2018","BMW X6",1018
"754","10 2018","BMW X6",728
"755","11 2018","BMW X6",634
"756","12 2018","BMW X6",469
"757","1 2019","BMW X6",366
"758","2 2019","BMW X6",329
"759","3 2019","BMW X6",619
"760","4 2019","BMW X6",372
"761","5 2019","BMW X6",502
"762","6 2019","BMW X6",450
"763","7 2019","BMW X6",290
"764","8 2019","BMW X6",264
"765","9 2019","BMW X6",210
"766","10 2019","BMW X6",402
"767","11 2019","BMW X6",422
"768","12 2019","BMW X6",725
"769","1 2020","BMW X6",888
"770","2 2020","BMW X6",748
"771","3 2020","BMW X6",661
"772","4 2020","BMW X6",511
"773","5 2020","BMW X6",846
"774","6 2020","BMW X6",759
"775","7 2020","BMW X6",952
"776","8 2020","BMW X6",949
"777","9 2020","BMW X6",1327
"778","10 2020","BMW X6",NA
"779","11 2020","BMW X6",NA
"780","12 2020","BMW X6",NA
"781","1 2016","BMW Z4",143
"782","2 2016","BMW Z4",211
"783","3 2016","BMW Z4",560
"784","4 2016","BMW Z4",277
"785","5 2016","BMW Z4",348
"786","6 2016","BMW Z4",421
"787","7 2016","BMW Z4",244
"788","8 2016","BMW Z4",180
"789","9 2016","BMW Z4",283
"790","10 2016","BMW Z4",113
"791","11 2016","BMW Z4",76
"792","12 2016","BMW Z4",150
"793","1 2017","BMW Z4",50
"794","2 2017","BMW Z4",35
"795","3 2017","BMW Z4",109
"796","4 2017","BMW Z4",14
"797","5 2017","BMW Z4",9
"798","6 2017","BMW Z4",16
"799","7 2017","BMW Z4",3
"800","8 2017","BMW Z4",2
"801","9 2017","BMW Z4",3
"802","10 2017","BMW Z4",1
"803","11 2017","BMW Z4",NA
"804","12 2017","BMW Z4",2
"805","1 2018","BMW Z4",1
"806","2 2018","BMW Z4",1
"807","3 2018","BMW Z4",NA
"808","4 2018","BMW Z4",4
"809","5 2018","BMW Z4",NA
"810","6 2018","BMW Z4",1
"811","7 2018","BMW Z4",NA
"812","8 2018","BMW Z4",1
"813","9 2018","BMW Z4",8
"814","10 2018","BMW Z4",20
"815","11 2018","BMW Z4",61
"816","12 2018","BMW Z4",28
"817","1 2019","BMW Z4",110
"818","2 2019","BMW Z4",288
"819","3 2019","BMW Z4",1359
"820","4 2019","BMW Z4",1359
"821","5 2019","BMW Z4",850
"822","6 2019","BMW Z4",1339
"823","7 2019","BMW Z4",984
"824","8 2019","BMW Z4",567
"825","9 2019","BMW Z4",1078
"826","10 2019","BMW Z4",760
"827","11 2019","BMW Z4",456
"828","12 2019","BMW Z4",531
"829","1 2020","BMW Z4",668
"830","2 2020","BMW Z4",690
"831","3 2020","BMW Z4",882
"832","4 2020","BMW Z4",400
"833","5 2020","BMW Z4",438
"834","6 2020","BMW Z4",811
"835","7 2020","BMW Z4",1396
"836","8 2020","BMW Z4",702
"837","9 2020","BMW Z4",956
"838","10 2020","BMW Z4",NA
"839","11 2020","BMW Z4",NA
"840","12 2020","BMW Z4",NA
"841","1 2016","BMW i8",110
"842","2 2016","BMW i8",109
"843","3 2016","BMW i8",222
"844","4 2016","BMW i8",158
"845","5 2016","BMW i8",145
"846","6 2016","BMW i8",131
"847","7 2016","BMW i8",125
"848","8 2016","BMW i8",102
"849","9 2016","BMW i8",120
"850","10 2016","BMW i8",86
"851","11 2016","BMW i8",103
"852","12 2016","BMW i8",106
"853","1 2017","BMW i8",84
"854","2 2017","BMW i8",47
"855","3 2017","BMW i8",162
"856","4 2017","BMW i8",93
"857","5 2017","BMW i8",83
"858","6 2017","BMW i8",96
"859","7 2017","BMW i8",62
"860","8 2017","BMW i8",47
"861","9 2017","BMW i8",72
"862","10 2017","BMW i8",74
"863","11 2017","BMW i8",101
"864","12 2017","BMW i8",67
"865","1 2018","BMW i8",64
"866","2 2018","BMW i8",49
"867","3 2018","BMW i8",166
"868","4 2018","BMW i8",106
"869","5 2018","BMW i8",219
"870","6 2018","BMW i8",279
"871","7 2018","BMW i8",117
"872","8 2018","BMW i8",94
"873","9 2018","BMW i8",152
"874","10 2018","BMW i8",123
"875","11 2018","BMW i8",73
"876","12 2018","BMW i8",64
"877","1 2019","BMW i8",170
"878","2 2019","BMW i8",58
"879","3 2019","BMW i8",140
"880","4 2019","BMW i8",140
"881","5 2019","BMW i8",91
"882","6 2019","BMW i8",70
"883","7 2019","BMW i8",110
"884","8 2019","BMW i8",58
"885","9 2019","BMW i8",69
"886","10 2019","BMW i8",73
"887","11 2019","BMW i8",33
"888","12 2019","BMW i8",65
"889","1 2020","BMW i8",46
"890","2 2020","BMW i8",47
"891","3 2020","BMW i8",50
"892","4 2020","BMW i8",32
"893","5 2020","BMW i8",40
"894","6 2020","BMW i8",99
"895","7 2020","BMW i8",101
"896","8 2020","BMW i8",65
"897","9 2020","BMW i8",39
"898","10 2020","BMW i8",NA
"899","11 2020","BMW i8",NA
"900","12 2020","BMW i8",NA
"901","1 2018","BMW 8-series",NA
"902","2 2018","BMW 8-series",NA
"903","3 2018","BMW 8-series",NA
"904","4 2018","BMW 8-series",NA
"905","5 2018","BMW 8-series",NA
"906","6 2018","BMW 8-series",NA
"907","7 2018","BMW 8-series",NA
"908","8 2018","BMW 8-series",157
"909","9 2018","BMW 8-series",67
"910","10 2018","BMW 8-series",189
"911","11 2018","BMW 8-series",573
"912","12 2018","BMW 8-series",313
"913","1 2019","BMW 8-series",333
"914","2 2019","BMW 8-series",297
"915","3 2019","BMW 8-series",726
"916","4 2019","BMW 8-series",820
"917","5 2019","BMW 8-series",489
"918","6 2019","BMW 8-series",549
"919","7 2019","BMW 8-series",757
"920","8 2019","BMW 8-series",270
"921","9 2019","BMW 8-series",412
"922","10 2019","BMW 8-series",623
"923","11 2019","BMW 8-series",668
"924","12 2019","BMW 8-series",696
"925","1 2020","BMW 8-series",631
"926","2 2020","BMW 8-series",642
"927","3 2020","BMW 8-series",830
"928","4 2020","BMW 8-series",263
"929","5 2020","BMW 8-series",375
"930","6 2020","BMW 8-series",920
"931","7 2020","BMW 8-series",910
"932","8 2020","BMW 8-series",620
"933","9 2020","BMW 8-series",898
"934","10 2020","BMW 8-series",NA
"935","11 2020","BMW 8-series",NA
"936","12 2020","BMW 8-series",NA
"937","1 2017","BMW X2",NA
"938","2 2017","BMW X2",NA
"939","3 2017","BMW X2",NA
"940","4 2017","BMW X2",NA
"941","5 2017","BMW X2",NA
"942","6 2017","BMW X2",NA
"943","7 2017","BMW X2",NA
"944","8 2017","BMW X2",NA
"945","9 2017","BMW X2",NA
"946","10 2017","BMW X2",10
"947","11 2017","BMW X2",211
"948","12 2017","BMW X2",24
"949","1 2018","BMW X2",509
"950","2 2018","BMW X2",905
"951","3 2018","BMW X2",2459
"952","4 2018","BMW X2",2263
"953","5 2018","BMW X2",3009
"954","6 2018","BMW X2",4271
"955","7 2018","BMW X2",3100
"956","8 2018","BMW X2",3173
"957","9 2018","BMW X2",4773
"958","10 2018","BMW X2",4020
"959","11 2018","BMW X2",4259
"960","12 2018","BMW X2",3743
"961","1 2019","BMW X2",2974
"962","2 2019","BMW X2",2970
"963","3 2019","BMW X2",4800
"964","4 2019","BMW X2",3805
"965","5 2019","BMW X2",3785
"966","6 2019","BMW X2",4789
"967","7 2019","BMW X2",3814
"968","8 2019","BMW X2",2571
"969","9 2019","BMW X2",3534
"970","10 2019","BMW X2",4338
"971","11 2019","BMW X2",3781
"972","12 2019","BMW X2",3965
"973","1 2020","BMW X2",3003
"974","2 2020","BMW X2",2610
"975","3 2020","BMW X2",2290
"976","4 2020","BMW X2",968
"977","5 2020","BMW X2",1379
"978","6 2020","BMW X2",3152
"979","7 2020","BMW X2",4831
"980","8 2020","BMW X2",2855
"981","9 2020","BMW X2",2279
"982","10 2020","BMW X2",NA
"983","11 2020","BMW X2",NA
"984","12 2020","BMW X2",NA
"985","1 2019","BMW X7",37
"986","2 2019","BMW X7",33
"987","3 2019","BMW X7",87
"988","4 2019","BMW X7",237
"989","5 2019","BMW X7",729
"990","6 2019","BMW X7",580
"991","7 2019","BMW X7",494
"992","8 2019","BMW X7",314
"993","9 2019","BMW X7",575
"994","10 2019","BMW X7",491
"995","11 2019","BMW X7",523
"996","12 2019","BMW X7",543
"997","1 2020","BMW X7",531
"998","2 2020","BMW X7",333
"999","3 2020","BMW X7",404
"1000","4 2020","BMW X7",355
"1001","5 2020","BMW X7",454
"1002","6 2020","BMW X7",450
"1003","7 2020","BMW X7",454
"1004","8 2020","BMW X7",493
"1005","9 2020","BMW X7",690
"1006","10 2020","BMW X7",NA
"1007","11 2020","BMW X7",NA
"1008","12 2020","BMW X7",NA
