region;Time;Total;Petroleum products;Liquefied petroleum gases;Diesel;Natural Gas;Electricity;Alternative Energy;Petrol_excluding hybrids  ;Hybrid electric-petrol;Plug-in hybrid petrol-electric;Diesel_excluding hybrids;Hybrid diesel-electric;Plug-in hybrid diesel-electric;Hydrogen and fuel cells ;Bioethanol;Biodiesel;Bi-fuel;Other
Austria;2014;4694921;2023336;1;2663654;2397;3386;7931;2011104;11505;727;2663063;542;49;3;NA;NA;2144;0
Austria;2015;4748048;2033924;1;2703999;2475;5032;10125;2019139;13327;1458;2702922;1028;49;6;NA;NA;2611;0
Austria;2016;4821557;2056715;1;2750383;2457;9073;14459;2038019;16531;2165;2749046;1224;113;13;NA;NA;2915;0
Austria;2017;4898578;2106473;2;2771925;2433;14618;20180;2080434;22290;3749;2770470;1268;187;19;NA;NA;3108;0
Austria;2018;4978852;2173325;2;2778795;2365;20831;26732;2139239;28619;5467;2776332;2220;243;24;NA;NA;3510;0
Poland;2012;18744000;10811000;2757000;4830000;NA;NA;3103000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;346000
Poland;2013;19389446;10937607;2846868;5259881;5219;2270;3191958;10935337;2270;0;NA;NA;NA;18;112;0;0;337471
Poland;2014;20003863;11085536;2904072;5675734;5309;4218;3242593;11085536;NA;NA;5675734;NA;NA;32;113;0;0;328551
Poland;2015;20723423;11315095;2977264;6090488;5355;7765;3317840;10988118;326977;NA;6090488;NA;NA;39;112;0;0;327305
Poland;2016;21675388;11694188;3082548;6554145;5400;14610;3427055;11370209;323979;NA;6554145;NA;NA;53;108;0;0;324336
Poland;2017;22503579;12156450;3038596;6874307;5355;26223;3472822;11754413;402037;NA;6874307;NA;NA;91;117;0;0;402440
Poland;2018;23429016;12414546;3281951;7292917;5562;3018;3721553;12372309;42237;NA;7290632;2285;NA;232;137;137;0;430516
Portugal;2012;4259000;2160000;37000;2051000;NA;NA;48000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;10
Portugal;2013;4327478;2165168;40443;2121295;11;456;41015;2155229;9939;NA;2120334;961;NA;NA;NA;NA;90;15
Portugal;2014;4699645;2283942;46955;2367935;13;672;47768;2272319;11428;195;2366121;1805;9;0;11;0;114;3
